STT,Company,Type,Duration,Description
1,Tobigames Studio,Remote,03/2025 – 05/2026,"- Worked on a long-running Japanese baseball stadium app project - upgraded the Unity version and fixed bugs.<br>- Worked with the Japan team to develop features, fix bugs, and update existing features based on new specs for reward-based casual games released in the Japanese and US."
2,Inwave Studio,Onsite,03/2024 – 02/2025,"Used Unity to upgrade old features, programmed new hybrid-casual features, upgraded SDKs, integrated new ad networks and SDKs, and optimized performance for <strong>Dancing Road</strong>"
3,Vietnam casino game,Remote,12/2024 – 03/2025,Used Cocos Creator 2.4.5 and TypeScript to fix UI bugs and game flow issues
4,Freelancer,Mixed,10/2023 – 03/2024,"<strong>Airspeeder - Remote</strong> – Used Unreal Engine 5 to develop an NFT airplane racing game in direct collaboration with an Australian client. Integrated Hyperplay for crypto wallet login and handled smart contract ABIs.<br><strong>ZeroPutt - Hybrid</strong> – Used Unity to develop <strong>ZeroPutt</strong>, a golf game integrated with a custom hardware device for gameplay.<br><strong>AR Plugin Integration</strong> – Integrated a native plugin (originally used in Unity) into Unreal Engine 5 to connect and communicate with AR glasses."
5,UXPON,Remote,08/2023 – 09/2023,Programmed casual game projects; worked with Nakama to handle game login via Facebook and Google.
6,Unicorn Studio,Onsite,03/2022 – 07/2023,Participated in the development of game products and outsourcing projects for the company; trained Unity interns; contributed to project estimation for clients.
7,Extreme Vietnam,Onsite,03/2020 – 03/2022,Developed casual game projects using Unity; created 3D apps; supported the design team in delivering final products to customers.
